model,budget,arm,mean,lo,hi
vicuna-13b-v1.5,400,STATIC-round-robin,0.96,0.96,0.96
vicuna-13b-v1.5,400,STATIC-single-method,0.8474666666666667,0.8365983333333333,0.8576708333333332
vicuna-13b-v1.5,500,ADAPTIVE-escal+thompson,0.96,0.96,0.96
vicuna-13b-v1.5,500,ADAPTIVE-escalation,0.96,0.96,0.96
vicuna-13b-v1.5,500,ADAPTIVE-succ-halving,0.9529666666666669,0.9523666666666666,0.9535
vicuna-13b-v1.5,500,ADAPTIVE-thompson,0.96,0.96,0.96
vicuna-13b-v1.5,500,ORACLE,0.96,0.96,0.96
vicuna-13b-v1.5,500,STATIC-best-method(oracle),0.95,0.95,0.95
vicuna-13b-v1.5,500,STATIC-round-robin,0.96,0.96,0.96
vicuna-13b-v1.5,500,STATIC-single-method,0.8474666666666667,0.8365983333333333,0.8576708333333332
